video_id,title,publish_date,duration_seconds,transcript_length,course_code,course_name,course_confidence,course_evidence,domain,domain_evidence,short_transcript_status,characters_per_second
-wz4iU2V-Yo,Errors,2017-02-15,76,903,6.0001,Introduction to Computer Science and Programming in Python,high,description:MIT 6.0001,computer_science_ai_data,department:6,likely_valid_short_video,11.882
-XivhU1V6KY,Improving Early Physics Education,2018-11-01,151,2134,8.13,"14 Experimental Physics I & II ""Junior Lab""",high,description:MIT 8.13,physics,department:8,likely_valid_short_video,14.132
-Y8pOF1AgUY,Spotlighting Contemporary Chemists,2017-08-03,170,3094,5.111,Principles of Chemical Science,high,description:MIT 5.111,engineering,keyword_score:1,likely_valid_short_video,18.2
-yfdG4BRFBY,Becoming the Next Bill Nye,2016-03-16,142,2084,20.219,Becoming the Next Bill Nye: Writing and Hosting the Educational Show,high,description:MIT 20.219,biology_medicine_neuroscience,department:20,likely_valid_short_video,14.676
-Zg3fxOmjVs,12.2.4 Compiling a Procedure,2019-07-12,285,4248,6.004,Computation Structures,high,description:MIT 6.004,computer_science_ai_data,department:6,likely_valid_short_video,14.905
__T3eJtjoic,L01.3 Sample Space Examples,2018-04-24,303,3791,RES.6-012,Introduction to Probability,high,description:MIT RES.6-012,mathematics_statistics,keyword_score:1,likely_valid_short_video,12.512
_0LtZx6epcg,"Lec 21 | MIT 6.013 Electromagnetics and Applications, Fall 2",2008-04-10,434,3352,6.013,"Electromagnetics and Applications, Fall 2",high,title:MIT 6.013,computer_science_ai_data,department:6,likely_valid_short_video,7.724
_0PrwAbgoMA,10.1 Circular Motion - Acceleration,2017-06-02,240,2604,8.01,Classical Mechanics,high,description:MIT 8.01,physics,department:8,likely_valid_short_video,10.85
_62YvNU_yOM,Valuing Teachers from the Diaspora,2018-12-07,98,1455,24.908,Creole Language and Caribbean Identities,high,description:MIT 24.908,humanities_social_science,department:24,likely_valid_short_video,14.847
_7JPHNCT1Qo,23.4 Potential Energy of a Spring,2017-06-02,320,3839,8.01,Classical Mechanics,high,description:MIT 8.01,physics,department:8,likely_valid_short_video,11.997
_85xTt0cU3s,L2.4 Degenerate Perturbation Theory: Leading energy corrections,2019-02-14,412,3334,8.06,Quantum Physics III,high,description:MIT 8.06,physics,department:8,likely_valid_short_video,8.092
_aMhpf6CK90,"Lec 22 | MIT 6.013 Electromagnetics and Applications, Fall 2",2008-04-10,81,439,6.013,"Electromagnetics and Applications, Fall 2",high,title:MIT 6.013,computer_science_ai_data,department:6,likely_valid_short_video,5.42
_ax4eNMI9Dw,Method Call,2017-02-15,107,1359,6.0001,Introduction to Computer Science and Programming in Python,high,description:MIT 6.0001,computer_science_ai_data,department:6,likely_valid_short_video,12.701
_DbUa8w0W74,Instructor Interview: Course History,2016-01-04,223,2984,6.811,Principles and Practices of Assistive Technology,high,description:MIT 6.811,computer_science_ai_data,department:6,likely_valid_short_video,13.381
_dhcifVwZlA,Day 1 | Deliberative Democracy and Dispute Resolution,2008-05-19,190,2314,unresolved,unresolved,unresolved,no_course_code_pattern,unresolved,no_domain_evidence,likely_valid_short_video,12.179
_eiT4CEBlX8,MIT Photographer explains one thing AI can never do,2026-06-01,257,3543,unresolved,unresolved,unresolved,no_course_code_pattern,unresolved,no_domain_evidence,likely_valid_short_video,13.786
_erP4SBOXRI,Elements on Fire | MIT Chemistry Behind the Magic,2012-11-21,307,2831,unresolved,unresolved,unresolved,no_course_code_pattern,unresolved,no_domain_evidence,likely_valid_short_video,9.221
_EtlZAMQ2gc,7.4.3 R7. Visualization - Video 2: Pie Charts,2018-12-13,234,3552,15.071,The Analytics Edge,high,description:MIT 15.071,economics_business_management,department:15,likely_valid_short_video,15.179
_fJZbeVeBxg,10. The Killing Curve | MIT ChemLab Boot Camp,2012-11-20,249,3199,unresolved,unresolved,unresolved,no_course_code_pattern,unresolved,no_domain_evidence,likely_valid_short_video,12.847
_Fo3Jq1blKk,"Linear Systems of Equations | MIT 18.03SC Differential Equations, Fall 2011",2012-01-04,394,4579,18.03SC,Differential Equations,high,title:MIT 18.03SC,mathematics_statistics,department:18,likely_valid_short_video,11.622
_FXukyeNEFQ,Lab 3: ZnS:Cu LED,2013-11-15,268,2153,unresolved,unresolved,unresolved,no_course_code_pattern,unresolved,no_domain_evidence,likely_valid_short_video,8.034
_hDfZF64wic,L14.10 Summary,2018-04-24,341,4693,RES.6-012,Introduction to Probability,high,description:MIT RES.6-012,mathematics_statistics,keyword_score:1,likely_valid_short_video,13.762
_HL7qwWvON4,L17.2 LLMS Formulation,2018-04-24,298,3988,RES.6-012,Introduction to Probability,high,description:MIT RES.6-012,mathematics_statistics,keyword_score:1,likely_valid_short_video,13.383
_IX_9ajyOxI,L23.2 The Sum of Independent Poisson Random Variables,2018-04-24,243,2953,RES.6-012,Introduction to Probability,high,description:MIT RES.6-012,mathematics_statistics,keyword_score:1,likely_valid_short_video,12.152
_JGetImYLis,5.4.9 R5. Predictive Coding - Video 8: Predictive Coding Today,2018-12-13,49,636,15.071,The Analytics Edge,high,description:MIT 15.071,economics_business_management,department:15,likely_valid_short_video,12.98
_L315IjxyUM,5.3.7 How IBM Built a Jeopardy Champion - Video 4: How Watson Works - Steps 1 and 2,2018-12-13,222,2864,15.071,The Analytics Edge,high,description:MIT 15.071,economics_business_management,department:15,likely_valid_short_video,12.901
_MohGTvxaRk,Video 3: Technology Isn’t What You Think It Is - MIT Innovation Teams,2025-09-29,293,4908,15.371,/10.807/2.907 Innovation Teams,high,description:MIT 15.371,economics_business_management,department:15,likely_valid_short_video,16.751
_mqFIqnCPak,5.2 Worked Example: Gravity - Superposition,2017-06-02,526,4883,8.01,Classical Mechanics,high,description:MIT 8.01,physics,department:8,likely_valid_short_video,9.283
_nct_bjbX6E,Advice for Next Teaching Generation: Focus Curricula on the Microbial World,2017-08-22,332,4138,5.07SC,Biological Chemistry,high,description:MIT 5.07SC,unresolved,domain_tie:biology_medicine_neuroscience|education_communication_media,likely_valid_short_video,12.464
_qDdzzBDoPc,Highlights for High School Guided Tour 2009,2009-12-02,206,2868,unresolved,unresolved,unresolved,no_course_code_pattern,unresolved,no_domain_evidence,likely_valid_short_video,13.922
_qTVDxXBK5A,Nick Cheney: Capturing Neural Plasticity in Deep Networks,2018-04-03,208,2915,RES.9-003,"Brains, Minds and Machines Summer Course",high,description:MIT RES.9-003,unresolved,domain_tie:architecture_urban_studies|biology_medicine_neuroscience,likely_valid_short_video,14.014
_r7pI2_FjSg,Applying Newton's 2nd Law,2017-06-02,197,2941,8.01,Classical Mechanics,high,description:MIT 8.01,physics,department:8,likely_valid_short_video,14.929
_rU1VmnyYG0,Video 29: Analytical Microreactor Case Study,2017-04-26,120,1467,RES.10-001,Making Science and Engineering Pictures: A Practical Guide to Presenting Your Work,high,description:MIT RES.10-001,engineering,keyword_score:1,likely_valid_short_video,12.225
_uKBaTKZa6c,Optics: Fringe contrast - polarization difference | MIT Video Demonstrations in Lasers and Optics,2012-06-15,341,3988,unresolved,unresolved,unresolved,no_course_code_pattern,physics,keyword_score:2,likely_valid_short_video,11.695
_yornlzBHL4,Helping Students Cultivate Identities as Scientists,2018-11-01,76,1120,8.13,"14 Experimental Physics I & II ""Junior Lab""",high,description:MIT 8.13,physics,department:8,likely_valid_short_video,14.737
_ZZ6jwuBJxc,Preparing for Lectures,2017-08-03,115,1770,unresolved,unresolved,unresolved,no_course_code_pattern,unresolved,no_domain_evidence,likely_valid_short_video,15.391
0-6a1SuihXM,"Powers of a Matrix | MIT 18.06SC Linear Algebra, Fall 2011",2011-12-09,547,4550,18.06SC,Linear Algebra,high,title:MIT 18.06SC,mathematics_statistics,department:18,likely_valid_short_video,8.318
02NyrrxEGqM,Day 5: Storyteller’s Toolkit Pt. III: Visual Storytelling & Realizing Vision; Part 4,2016-03-02,154,1861,20.219,Becoming the Next Bill Nye: Writing and Hosting the Educational Show,high,description:MIT 20.219,biology_medicine_neuroscience,department:20,likely_valid_short_video,12.084
03CJMrAP4vc,Lesson 2: Part 3 - Cooking Instruction,2013-08-13,530,4242,unresolved,unresolved,unresolved,no_course_code_pattern,unresolved,no_domain_evidence,likely_valid_short_video,8.004
05DWB1NzozM,9.2.7 Sports Scheduling - Video 4: Logical Constraints,2018-12-13,330,3944,15.071,The Analytics Edge,high,description:MIT 15.071,economics_business_management,department:15,likely_valid_short_video,11.952
08Ih9GGB5-c,1.2.5 The Analytics Edge - Video 5: Example 4 - D2Hawkeye,2018-12-13,123,1466,15.071,The Analytics Edge,high,description:MIT 15.071,economics_business_management,department:15,likely_valid_short_video,11.919
