video_id,title,publish_date,duration_seconds,transcript_length,course_code,course_name,course_confidence,course_evidence,domain,domain_evidence,short_transcript_status,characters_per_second
-kD4LUyVmQ0,Chapter 9.4.1 (demo only): Measurement of B-H Characteristic,2012-06-25,181,2569,unresolved,unresolved,unresolved,no_course_code_pattern,unresolved,no_domain_evidence,likely_valid_short_video,14.193
-kkocTdn0iY,"Ted Carr Guest Lecture | MIT MAS.771: Autism Theory and Technology, Spring 2011",2012-01-05,6252,101387,MAS.771,Autism Theory and Technology,high,title:MIT MAS.771,biology_medicine_neuroscience,keyword_score:1,not_short,16.217
-Km2237G0P8,Assessing Student Work Completed as Teams,2017-08-10,158,2180,16.842,Fundamentals of Systems Engineering,high,description:MIT 16.842,engineering,department:16,likely_valid_short_video,13.797
-KUXPcs2Di4,Ep. 3: Early Chemical Evolution,2019-09-27,536,6058,RES.8-007,Cosmic Origin of the Chemical Elements,high,description:MIT RES.8-007,engineering,keyword_score:1,not_short,11.302
-l9SfGuZJYE,"6. Ellen Swallow Richards, Part 2",2021-05-18,3046,31145,5.310,Laboratory Chemistry,high,description:MIT 5.310,unresolved,no_domain_evidence,not_short,10.225
-M8swpL-Ij8,DD.2.1 Position in the CM Frame,2017-06-02,273,2973,8.01,Classical Mechanics,high,description:MIT 8.01,physics,department:8,likely_valid_short_video,10.89
-m9khFwO970,Lecture 23: Thomson Scattering: Advanced,2024-08-20,4871,56995,22.67J,Principles of Plasma Diagnostics,high,description:MIT 22.67J,engineering,department:22,not_short,11.701
-MI0b4h3rS0,"Lec 15 | MIT 18.01 Single Variable Calculus, Fall 2007",2009-04-15,2933,25060,18.01,Single Variable Calculus,high,title:MIT 18.01,mathematics_statistics,department:18,not_short,8.544
-MJrb7xScbU,Student Video: 2D Brillouin Zones,2019-05-17,618,8722,RES.3-004,Visualizing Materials Science,high,description:MIT RES.3-004,engineering,keyword_score:1,not_short,14.113
-mrxN8XcQOQ,"15. Physics of D-branes, Part III",2016-03-02,5050,49293,8.821,String Theory and Holographic Duality,high,description:MIT 8.821,physics,department:8,not_short,9.761
-mW-DYFyGqg,1.2.1 The Analytics Edge - Video 1: Introduction to The Analytics Edge,2018-12-13,290,3844,15.071,The Analytics Edge,high,description:MIT 15.071,economics_business_management,department:15,likely_valid_short_video,13.255
-n0cXgPSwOw,"Lecture 21: Relative Orientation, Binocular Stereo, Structure, Quadrics, Calibration, Reprojection",2022-06-08,5225,54270,6.801,Machine Vision,high,description:MIT 6.801,computer_science_ai_data,department:6,not_short,10.387
-nAt3BJQ2xY,Beyond the well-mixed room: Social distancing,2021-04-08,1066,16315,RES.10-S95,Physics of COVID-19 Transmission,high,description:MIT RES.10-S95,physics,keyword_score:1,not_short,15.305
-OduZBd1aHw,16.2.6 MMU Improvements,2019-07-12,454,6589,6.004,Computation Structures,high,description:MIT 6.004,computer_science_ai_data,department:6,not_short,14.513
-OeyjP2zri4,"Lecture 12: Syntax, Part 2",2023-01-27,4250,64056,24.900,Introduction to Linguistics,high,description:MIT 24.900,humanities_social_science,department:24,not_short,15.072
-Op1GLwFuV4,"Session 4, Part 1: Presenting Your Venture",2026-03-23,4931,63152,15.393,Nuts and Bolts of New Ventures,high,description:MIT 15.393,economics_business_management,department:15,not_short,12.807
-OQn43ZA2EM,Lec 11 | MIT 4.125 Architecture Studio: Building in Landscap,2008-02-05,1581,20144,4.125,Architecture Studio: Building in Landscap,high,title:MIT 4.125,architecture_urban_studies,department:4,not_short,12.741
-P2opzekpX8,Lecture 3: Why Quantum Field Theory,2024-02-12,4494,43905,8.323,Relativistic Quantum Field Theory I,high,description:MIT 8.323,physics,department:8,not_short,9.77
-pb3z2w9gDg,1. Introduction to 'The Society of Mind',2014-03-04,7554,76716,6.868J,The Society of Mind,high,description:MIT 6.868J,computer_science_ai_data,department:6,not_short,10.156
-Pg11JHzUTo,"Lecture 9: Phonology, Part 2",2023-01-27,4340,64205,24.900,Introduction to Linguistics,high,description:MIT 24.900,humanities_social_science,department:24,not_short,14.794
-PGcTRLh1u4,"Flux through surfaces | MIT 18.02SC Multivariable Calculus, Fall 2010",2011-01-04,682,9555,18.02SC,Multivariable Calculus,high,title:MIT 18.02SC,mathematics_statistics,department:18,not_short,14.01
-PlloFeJ-ww,Lecture 23: The Birth of Particle Cosmology,2023-08-22,4791,76566,STS.042J,"/ 8.225J Einstein, Oppenheimer, Feynman: Physics in the 20th Century",high,description:MIT STS.042J,physics,keyword_score:1,not_short,15.981
-pMowqywuIY,L1.3 Calculating the energy corrections,2019-02-14,387,2901,8.06,Quantum Physics III,high,description:MIT 8.06,physics,department:8,likely_valid_short_video,7.496
-pr1TLyPyDw,"Integrals with density | MIT 18.02SC Multivariable Calculus, Fall 2010",2011-01-04,936,9116,18.02SC,Multivariable Calculus,high,title:MIT 18.02SC,mathematics_statistics,department:18,not_short,9.739
-qCEoqpwjf4,6. Discrete Random Variables II,2012-11-09,3053,39040,6.041,Probabilistic Systems Analysis and Applied Probability,high,description:MIT 6.041,computer_science_ai_data,department:6,not_short,12.787
-QcPo_DWJk4,R6. Greedy Algorithms,2016-03-04,1344,18772,6.046J,Design and Analysis of Algorithms,high,description:MIT 6.046J,computer_science_ai_data,department:6,not_short,13.967
-QVENB3aEvY,"R8. Cart and Pendulum, Lagrange Method",2013-09-03,2101,21500,2.003SC,Engineering Dynamics,high,description:MIT 2.003SC,engineering,department:2,not_short,10.233
-qwVo9RrMl4,Wire Drawing (Intro to Solid-State Chemistry),2020-12-07,200,2531,3.091,Introduction to Solid-State Chemistry,high,description:MIT 3.091,engineering,department:3,likely_valid_short_video,12.655
-r0hWGcNLSI,Lecture 4: Power Factor,2024-07-17,3143,36384,6.622,Power Electronics,high,description:MIT 6.622,computer_science_ai_data,department:6,not_short,11.576
-RqKDpeILyU,15.2.7 Worked Examples: Beta Junkyard,2019-07-12,497,6326,6.004,Computation Structures,high,description:MIT 6.004,computer_science_ai_data,department:6,not_short,12.728
-RRYZ-b9NpI,"Lecture 2 | MIT 6.832 Underactuated Robotics, Spring 2009",2010-07-15,4140,43834,6.832,Underactuated Robotics,high,title:MIT 6.832,computer_science_ai_data,department:6,not_short,10.588
-S5GwNe0xXg,Unit II: Lec 10 | MIT Calculus Revisited: Single Variable Calculus,2011-05-06,2579,37508,unresolved,unresolved,unresolved,no_course_code_pattern,mathematics_statistics,keyword_score:1,not_short,14.544
-sfaHVFWBU8,Lecture 22: The Spectral Theorem for a Compact Self-Adjoint Operator,2022-11-17,5047,39861,18.102,Introduction to Functional Analysis,high,description:MIT 18.102,mathematics_statistics,department:18,not_short,7.898
-SHXUwpVgXU,10. UI and Usability,2015-12-10,5309,79598,CMS.611J,Creating Video Games,high,description:MIT CMS.611J,education_communication_media,department:CMS,not_short,14.993
-SUNntP3dWo,An Interdisciplinary Approach,2018-05-16,103,1531,24.912,Introduction to Black Studies,high,description:MIT 24.912,humanities_social_science,department:24,likely_valid_short_video,14.864
-T34yGp4T7A,L13.5 Forecast Revisions,2018-04-24,278,3350,RES.6-012,Introduction to Probability,high,description:MIT RES.6-012,mathematics_statistics,keyword_score:1,likely_valid_short_video,12.05
-to-7OIJyQ0,Lecture 1.5: The Molecules of Life — Nucleic Acid Polarity,2020-08-21,486,5058,unresolved,unresolved,unresolved,no_course_code_pattern,unresolved,no_domain_evidence,not_short,10.407
-U3-idg31L4,Winning SBIR Contracts,2026-03-23,4527,77250,15.393,Nuts and Bolts of New Ventures,high,description:MIT 15.393,economics_business_management,department:15,not_short,17.064
-UdkFmZwUqA,Final Presentation for Sample Paper #1,2014-01-30,2326,24980,18.821,Project Laboratory in Mathematics,high,description:MIT 18.821,mathematics_statistics,department:18,not_short,10.739
-uEwMV9DHZo,"Lec 20 | MIT 5.112 Principles of Chemical Science, Fall 2005",2008-02-14,2588,25507,5.112,Principles of Chemical Science,high,title:MIT 5.112,engineering,keyword_score:1,not_short,9.856
-UgQEHHXTRM,Group velocity and stationary phase approximation,2017-07-31,632,5335,8.04,Quantum Physics I,high,description:MIT 8.04,physics,department:8,not_short,8.441
-UJgxLaFzfM,Lecture 07: Applications of the Large Sieve to Number Theory,2025-11-03,4806,45547,18.156,Projection Theory,high,description:MIT 18.156,mathematics_statistics,department:18,not_short,9.477
-W8jzpw_TgE,Japanese Community Events,2018-01-18,101,1010,21G.503,Japanese III,high,description:MIT 21G.503,humanities_social_science,keyword_score:1,likely_valid_short_video,10.0
-WapZQ_LwFM,9. Energy Use by Individuals and Households,2013-03-29,4790,56512,15.031J,"Energy Decisions, Markets, and Policies",high,description:MIT 15.031J,economics_business_management,department:15,not_short,11.798
-wDIDaTtRwU,Lecture 13: Introduction to Ideal (Gas) Mixtures,2023-10-23,2997,26993,3.020,Thermodynamics of Materials,high,description:MIT 3.020,engineering,department:3,not_short,9.007
-WIAoAG4SyA,L0.1 Introduction to Nuclear and Particle Physics: Course Overview,2021-06-25,358,4922,8.701,Introduction to Nuclear and Particle Physics,high,description:MIT 8.701,physics,department:8,likely_valid_short_video,13.749
-wyc5FwzkcM,Lecture 20: Fitness Tracker Object-Oriented Programming Example,2024-04-11,4744,64738,6.100L,Introduction to CS and Programming using Python,high,description:MIT 6.100L,computer_science_ai_data,department:6,not_short,13.646
-wz4iU2V-Yo,Errors,2017-02-15,76,903,6.0001,Introduction to Computer Science and Programming in Python,high,description:MIT 6.0001,computer_science_ai_data,department:6,likely_valid_short_video,11.882
-X04WJoTDBc,"Linear Transformations | MIT 18.06SC Linear Algebra, Fall 2011",2011-12-09,647,5040,18.06SC,Linear Algebra,high,title:MIT 18.06SC,mathematics_statistics,department:18,not_short,7.79
-XGDKoWi0Zg,"Lecture 22: Auctions, Part 1",2024-09-27,4749,71833,14.271,Industrial Organization I,high,description:MIT 14.271,economics_business_management,department:14,not_short,15.126
-XivhU1V6KY,Improving Early Physics Education,2018-11-01,151,2134,8.13,"14 Experimental Physics I & II ""Junior Lab""",high,description:MIT 8.13,physics,department:8,likely_valid_short_video,14.132
-xJjrPmguxI,"Lec 25 | MIT 5.111 Principles of Chemical Science, Fall 2005",2008-01-18,2793,34159,5.111,Principles of Chemical Science,high,title:MIT 5.111,engineering,keyword_score:1,not_short,12.23
-XKsFKIGjZ0,"New Balance® visita de la planta, parte 2",2014-08-11,741,10364,RES.16-001,Lean Enterprise en Espanol,high,description:MIT RES.16-001,unresolved,no_domain_evidence,not_short,13.987
-Xwla4ZbWe8,Lecture 17: Alexandrov's Theorem,2014-08-26,4884,58420,6.849,"Geometric Folding Algorithms: Linkages, Origami, Polyhedra",high,description:MIT 6.849,computer_science_ai_data,department:6,not_short,11.962
-Y8pOF1AgUY,Spotlighting Contemporary Chemists,2017-08-03,170,3094,5.111,Principles of Chemical Science,high,description:MIT 5.111,engineering,keyword_score:1,likely_valid_short_video,18.2
-yfdG4BRFBY,Becoming the Next Bill Nye,2016-03-16,142,2084,20.219,Becoming the Next Bill Nye: Writing and Hosting the Educational Show,high,description:MIT 20.219,biology_medicine_neuroscience,department:20,likely_valid_short_video,14.676
-yIKKST-_Mw,14. The Geodesic Equation,2014-07-01,4603,53050,8.286,The Early Universe,high,description:MIT 8.286,physics,department:8,not_short,11.525
-yo3YxfY47g,4.7.1 Law Of Large Numbers: Video,2016-09-12,829,10960,6.042J,Mathematics for Computer Science,high,description:MIT 6.042J,computer_science_ai_data,department:6,not_short,13.221
-Yt7LQ4k1IU,Airborne disease transmission in a well-mixed room: Airborne transmission rate,2021-04-08,628,8614,RES.10-S95,Physics of COVID-19 Transmission,high,description:MIT RES.10-S95,physics,keyword_score:1,not_short,13.717
-Z35m38qLd4,Lec 9: Supply and Demand & Consumer/Producer Surplus,2025-04-02,2841,38788,14.01,Principles of Microeconomics,high,description:MIT 14.01,economics_business_management,department:14,not_short,13.653
-Zg3fxOmjVs,12.2.4 Compiling a Procedure,2019-07-12,285,4248,6.004,Computation Structures,high,description:MIT 6.004,computer_science_ai_data,department:6,likely_valid_short_video,14.905
_-gQchCLmXk,Lecture 9: Machine-learning Approach,2023-04-03,5285,67999,HST.512,Genomic Medicine,high,description:MIT HST.512,unresolved,domain_tie:biology_medicine_neuroscience|education_communication_media,not_short,12.866
__knqdOcWTM,24. Running a Game Studio (Guest Lecture by Michael Carriere and Jenna Hoffstein),2015-12-10,2933,46710,CMS.611J,Creating Video Games,high,description:MIT CMS.611J,education_communication_media,department:CMS,not_short,15.926
__NxbJzEMCU,"Part III: Partial Derivatives, Lec 5 | MIT Calculus Revisited: Multivariable Calculus",2012-03-12,1640,25307,unresolved,unresolved,unresolved,no_course_code_pattern,mathematics_statistics,keyword_score:1,not_short,15.431
__T3eJtjoic,L01.3 Sample Space Examples,2018-04-24,303,3791,RES.6-012,Introduction to Probability,high,description:MIT RES.6-012,mathematics_statistics,keyword_score:1,likely_valid_short_video,12.512
__tGxUu5BTc,4. Thermodynamics Part 4,2014-12-21,4733,45399,8.333,Statistical Mechanics I: Statistical Mechanics of Particles,high,description:MIT 8.333,physics,department:8,not_short,9.592
_09ziyzbinY,Lecture 9: Negotiation,2026-05-18,4414,56718,14.12,Economic Applications of Game Theory,high,description:MIT 14.12,economics_business_management,department:14,not_short,12.85
_0LtZx6epcg,"Lec 21 | MIT 6.013 Electromagnetics and Applications, Fall 2",2008-04-10,434,3352,6.013,"Electromagnetics and Applications, Fall 2",high,title:MIT 6.013,computer_science_ai_data,department:6,likely_valid_short_video,7.724
_0PrwAbgoMA,10.1 Circular Motion - Acceleration,2017-06-02,240,2604,8.01,Classical Mechanics,high,description:MIT 8.01,physics,department:8,likely_valid_short_video,10.85
_3lU2LDQdUU,Collaboration: Introduction to Git/Github,2017-11-07,1213,10221,RES.3-002,Collaborative Design and Creative Expression with Arduino Microcontrollers,high,description:MIT RES.3-002,unresolved,no_domain_evidence,not_short,8.426
_3WDzxt5p8c,1.4.4 Truth Tables: Video,2016-09-12,777,11850,6.042J,Mathematics for Computer Science,high,description:MIT 6.042J,computer_science_ai_data,department:6,not_short,15.251
_40zvhkmtM8,"Lec 12 | MIT 6.172 Performance Engineering of Software Systems, Fall 2010",2011-11-18,5121,67048,6.172,Performance Engineering of Software Systems,high,title:MIT 6.172,computer_science_ai_data,department:6,not_short,13.093
_4m8hYQ3cR0,Lecture 21: Integrals and Derivatives under Uniform Convergence,2025-09-02,4807,35927,18.100B,Real Analysis,high,description:MIT 18.100B,mathematics_statistics,department:18,not_short,7.474
_4u9W1xOuts,Advanced 1. Incremental Path Planning,2018-10-26,4966,70232,16.412J,Cognitive Robotics,high,description:MIT 16.412J,engineering,department:16,not_short,14.143
_5fpxkVFQUw,"Del and the product rule | MIT 18.02SC Multivariable Calculus, Fall 2010",2011-01-04,509,7266,18.02SC,Multivariable Calculus,high,title:MIT 18.02SC,mathematics_statistics,department:18,not_short,14.275
_62YvNU_yOM,Valuing Teachers from the Diaspora,2018-12-07,98,1455,24.908,Creole Language and Caribbean Identities,high,description:MIT 24.908,humanities_social_science,department:24,likely_valid_short_video,14.847
_75zfIar62c,24. Holographic Entanglement Entropy,2016-03-02,6992,72709,8.821,String Theory and Holographic Duality,high,description:MIT 8.821,physics,department:8,not_short,10.399
_7JPHNCT1Qo,23.4 Potential Energy of a Spring,2017-06-02,320,3839,8.01,Classical Mechanics,high,description:MIT 8.01,physics,department:8,likely_valid_short_video,11.997
