retrieval_run_id,retrieval_method,question_id,first_relevant_rank,reciprocal_rank,chunks_to_full_coverage,top_10_chunk_ids_json,top_10_scores_json,top_10_relevant_flags_json
mit60001_hybrid_be1b8bf6a64e3b8e,bm25_v1,mit60001-q-004,2,0.5,2,"[""0jljZRnHwOI:semantic_cosine_wp240_v1:32"",""0jljZRnHwOI:semantic_cosine_wp240_v1:18"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:60"",""P-0w8xWcnDQ:semantic_cosine_wp240_v1:2"",""nykOeWgQcHM:semantic_cosine_wp240_v1:17"",""nykOeWgQcHM:semantic_cosine_wp240_v1:50"",""FlGjISF3l78:semantic_cosine_wp240_v1:43"",""nykOeWgQcHM:semantic_cosine_wp240_v1:53"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:58"",""FlGjISF3l78:semantic_cosine_wp240_v1:7""]","[13.2596763,12.18347111,9.43349095,9.18310457,9.01884245,8.82777776,8.16072806,7.94735551,7.7737793,7.75057207]","[false,true,false,false,false,false,false,false,false,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,hybrid_rrf_k60_d100_v1,mit60001-q-004,3,0.333333333,3,"[""0jljZRnHwOI:semantic_cosine_wp240_v1:32"",""nykOeWgQcHM:semantic_cosine_wp240_v1:53"",""0jljZRnHwOI:semantic_cosine_wp240_v1:18"",""RvRKT-jXvko:semantic_cosine_wp240_v1:24"",""0jljZRnHwOI:semantic_cosine_wp240_v1:3"",""0jljZRnHwOI:semantic_cosine_wp240_v1:17"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:43"",""nykOeWgQcHM:semantic_cosine_wp240_v1:50"",""nykOeWgQcHM:semantic_cosine_wp240_v1:9"",""0jljZRnHwOI:semantic_cosine_wp240_v1:6""]","[0.03226646,0.03109932,0.02911605,0.02765152,0.02744361,0.02472527,0.02468764,0.02362609,0.0231289,0.0221342]","[false,false,true,false,false,false,false,false,false,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,dense_baseline_v1,mit60001-q-005,2,0.5,2,"[""WPSeyjX1-4s:semantic_cosine_wp240_v1:33"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:8"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:15"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:41"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:22"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:2"",""6LOwPhPDwVc:semantic_cosine_wp240_v1:77"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:7"",""7lQXYl_L28w:semantic_cosine_wp240_v1:58"",""6LOwPhPDwVc:semantic_cosine_wp240_v1:71""]","[0.60283113,0.59281111,0.57747614,0.53934956,0.50985962,0.50805682,0.48721367,0.48474431,0.47629791,0.46954829]","[false,true,false,false,false,false,false,true,false,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,bm25_v1,mit60001-q-005,38,0.026315789,38,"[""WPSeyjX1-4s:semantic_cosine_wp240_v1:33"",""9H6muyZjms0:semantic_cosine_wp240_v1:10"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:15"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:22"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:41"",""7lQXYl_L28w:semantic_cosine_wp240_v1:25"",""7lQXYl_L28w:semantic_cosine_wp240_v1:63"",""9H6muyZjms0:semantic_cosine_wp240_v1:51"",""RvRKT-jXvko:semantic_cosine_wp240_v1:28"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:16""]","[15.74054331,10.58558436,10.49815461,9.8436621,9.83432524,9.53085711,9.39122508,9.04739403,8.91875763,8.68279836]","[false,false,false,false,false,false,false,false,false,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,hybrid_rrf_k60_d100_v1,mit60001-q-005,9,0.111111111,9,"[""WPSeyjX1-4s:semantic_cosine_wp240_v1:33"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:15"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:22"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:41"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:45"",""SE4P7IVCunE:semantic_cosine_wp240_v1:2"",""7lQXYl_L28w:semantic_cosine_wp240_v1:47"",""7lQXYl_L28w:semantic_cosine_wp240_v1:25"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:7"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:77""]","[0.03278689,0.03174603,0.03100962,0.03100962,0.0279734,0.02503521,0.025,0.02495544,0.02490996,0.02411038]","[false,false,false,false,false,false,false,false,true,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,dense_baseline_v1,mit60001-q-006,1,1.0,1,"[""o9nW0uBqvEo:semantic_cosine_wp240_v1:14"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:13"",""SE4P7IVCunE:semantic_cosine_wp240_v1:28"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:10"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:12"",""7lQXYl_L28w:semantic_cosine_wp240_v1:11"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:19"",""7lQXYl_L28w:semantic_cosine_wp240_v1:81"",""7lQXYl_L28w:semantic_cosine_wp240_v1:37"",""6LOwPhPDwVc:semantic_cosine_wp240_v1:0""]","[0.62421066,0.6010201,0.60051489,0.59497017,0.58645076,0.54432809,0.53716224,0.53459287,0.53203529,0.52620655]","[true,true,false,false,false,false,false,false,false,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,bm25_v1,mit60001-q-006,2,0.5,2,"[""o9nW0uBqvEo:semantic_cosine_wp240_v1:12"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:13"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:10"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:19"",""7lQXYl_L28w:semantic_cosine_wp240_v1:3"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:14"",""7lQXYl_L28w:semantic_cosine_wp240_v1:81"",""FlGjISF3l78:semantic_cosine_wp240_v1:28"",""nykOeWgQcHM:semantic_cosine_wp240_v1:5"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:61""]","[14.14554895,12.32143114,11.97934746,11.49008375,11.35826652,10.76146431,9.42664412,8.93145284,8.44843493,8.34594368]","[false,true,false,false,false,true,false,false,false,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,hybrid_rrf_k60_d100_v1,mit60001-q-006,1,1.0,1,"[""o9nW0uBqvEo:semantic_cosine_wp240_v1:13"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:12"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:14"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:10"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:19"",""7lQXYl_L28w:semantic_cosine_wp240_v1:81"",""7lQXYl_L28w:semantic_cosine_wp240_v1:3"",""6LOwPhPDwVc:semantic_cosine_wp240_v1:0"",""7lQXYl_L28w:semantic_cosine_wp240_v1:1"",""SE4P7IVCunE:semantic_cosine_wp240_v1:28""]","[0.03225806,0.03177806,0.03154496,0.03149802,0.03055037,0.02963126,0.02946912,0.02779923,0.02778314,0.02674258]","[true,false,true,false,false,false,false,false,false,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,dense_baseline_v1,mit60001-q-007,6,0.166666667,6,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:53"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:17"",""nykOeWgQcHM:semantic_cosine_wp240_v1:54"",""2__KumJsGXc:semantic_cosine_wp240_v1:1"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:42"",""nykOeWgQcHM:semantic_cosine_wp240_v1:49"",""RvRKT-jXvko:semantic_cosine_wp240_v1:25"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:41"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:50"",""nykOeWgQcHM:semantic_cosine_wp240_v1:51""]","[0.5289821,0.50988829,0.48390615,0.44785899,0.44680604,0.44353664,0.43961686,0.43480277,0.43388814,0.43332437]","[false,false,false,false,false,true,false,false,false,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,bm25_v1,mit60001-q-007,2,0.5,2,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:53"",""nykOeWgQcHM:semantic_cosine_wp240_v1:49"",""nykOeWgQcHM:semantic_cosine_wp240_v1:50"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:18"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:20"",""9H6muyZjms0:semantic_cosine_wp240_v1:33"",""FlGjISF3l78:semantic_cosine_wp240_v1:14"",""7lQXYl_L28w:semantic_cosine_wp240_v1:4"",""0jljZRnHwOI:semantic_cosine_wp240_v1:36"",""0jljZRnHwOI:semantic_cosine_wp240_v1:25""]","[16.06447819,13.73553097,13.06303754,11.76443055,11.16357156,10.92203168,10.28222853,9.64892165,9.29371294,9.22085324]","[false,true,false,false,false,false,false,false,false,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,hybrid_rrf_k60_d100_v1,mit60001-q-007,2,0.5,2,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:53"",""nykOeWgQcHM:semantic_cosine_wp240_v1:49"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:17"",""nykOeWgQcHM:semantic_cosine_wp240_v1:50"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:18"",""nykOeWgQcHM:semantic_cosine_wp240_v1:55"",""FlGjISF3l78:semantic_cosine_wp240_v1:14"",""0jljZRnHwOI:semantic_cosine_wp240_v1:3"",""2__KumJsGXc:semantic_cosine_wp240_v1:1"",""nykOeWgQcHM:semantic_cosine_wp240_v1:25""]","[0.03278689,0.03128055,0.03021354,0.0297619,0.02767319,0.02580753,0.02523465,0.02500777,0.02471591,0.02409988]","[false,true,false,false,false,false,false,false,false,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,dense_baseline_v1,mit60001-q-008,2,0.5,22,"[""MjbuarJ7SE0:semantic_cosine_wp240_v1:41"",""nykOeWgQcHM:semantic_cosine_wp240_v1:55"",""FlGjISF3l78:semantic_cosine_wp240_v1:57"",""SE4P7IVCunE:semantic_cosine_wp240_v1:16"",""RvRKT-jXvko:semantic_cosine_wp240_v1:49"",""0jljZRnHwOI:semantic_cosine_wp240_v1:4"",""FlGjISF3l78:semantic_cosine_wp240_v1:55"",""FlGjISF3l78:semantic_cosine_wp240_v1:26"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:52"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:53""]","[0.50850785,0.50183249,0.50179362,0.48385242,0.45788276,0.44830441,0.43329811,0.42991012,0.42501003,0.41892242]","[false,true,false,false,false,false,false,false,false,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,bm25_v1,mit60001-q-008,12,0.083333333,197,"[""FlGjISF3l78:semantic_cosine_wp240_v1:40"",""FlGjISF3l78:semantic_cosine_wp240_v1:17"",""FlGjISF3l78:semantic_cosine_wp240_v1:41"",""RvRKT-jXvko:semantic_cosine_wp240_v1:16"",""nykOeWgQcHM:semantic_cosine_wp240_v1:50"",""nykOeWgQcHM:semantic_cosine_wp240_v1:49"",""FlGjISF3l78:semantic_cosine_wp240_v1:36"",""RvRKT-jXvko:semantic_cosine_wp240_v1:25"",""FlGjISF3l78:semantic_cosine_wp240_v1:18"",""0jljZRnHwOI:semantic_cosine_wp240_v1:4""]","[12.91955168,10.85538762,10.48078163,10.34161472,10.20794361,9.00032271,8.99927946,8.99927358,8.94836832,8.71919047]","[false,false,false,false,false,false,false,false,false,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,hybrid_rrf_k60_d100_v1,mit60001-q-008,8,0.125,38,"[""MjbuarJ7SE0:semantic_cosine_wp240_v1:41"",""0jljZRnHwOI:semantic_cosine_wp240_v1:4"",""RvRKT-jXvko:semantic_cosine_wp240_v1:25"",""FlGjISF3l78:semantic_cosine_wp240_v1:36"",""RvRKT-jXvko:semantic_cosine_wp240_v1:49"",""FlGjISF3l78:semantic_cosine_wp240_v1:55"",""FlGjISF3l78:semantic_cosine_wp240_v1:40"",""SE4P7IVCunE:semantic_cosine_wp240_v1:14"",""SE4P7IVCunE:semantic_cosine_wp240_v1:16"",""RvRKT-jXvko:semantic_cosine_wp240_v1:16""]","[0.02990696,0.02943723,0.02879039,0.02791239,0.02788462,0.02655328,0.02639344,0.02608401,0.02593428,0.02497079]","[false,false,false,false,false,false,false,true,false,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,dense_baseline_v1,mit60001-q-009,1,1.0,1,"[""MjbuarJ7SE0:semantic_cosine_wp240_v1:41"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:45"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:22"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:19"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:35"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:49"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:27"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:21"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:23"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:24""]","[0.62115586,0.57884818,0.57795382,0.55144298,0.54616266,0.54391038,0.52360511,0.5203445,0.50615644,0.50489253]","[true,false,false,false,false,false,false,false,false,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,bm25_v1,mit60001-q-009,37,0.027027027,37,"[""RvRKT-jXvko:semantic_cosine_wp240_v1:3"",""nykOeWgQcHM:semantic_cosine_wp240_v1:3"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:27"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:22"",""FlGjISF3l78:semantic_cosine_wp240_v1:59"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:45"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:0"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:14"",""QaOHeMnpnmU:semantic_cosine_wp240_v1:1"",""ncpb4wIsQu8:semantic_cosine_wp240_v1:0""]","[12.77698473,11.32056182,11.23022873,10.8438543,10.83110635,10.39431833,10.39293416,10.07980385,9.89376235,9.54551484]","[false,false,false,false,false,false,false,false,false,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,hybrid_rrf_k60_d100_v1,mit60001-q-009,5,0.2,5,"[""MjbuarJ7SE0:semantic_cosine_wp240_v1:45"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:27"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:23"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:22"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:41"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:16"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:14"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:19"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:49"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:35""]","[0.03128055,0.02995752,0.02800627,0.02710897,0.02670272,0.02668564,0.02631579,0.0262633,0.02626263,0.02538462]","[false,false,false,false,true,false,false,false,false,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,dense_baseline_v1,mit60001-q-010,12,0.083333333,12,"[""RvRKT-jXvko:semantic_cosine_wp240_v1:2"",""RvRKT-jXvko:semantic_cosine_wp240_v1:48"",""RvRKT-jXvko:semantic_cosine_wp240_v1:43"",""RvRKT-jXvko:semantic_cosine_wp240_v1:44"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:1"",""RvRKT-jXvko:semantic_cosine_wp240_v1:24"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:6"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:65"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:3"",""SE4P7IVCunE:semantic_cosine_wp240_v1:13""]","[0.56604707,0.53874242,0.52488363,0.4447428,0.43061721,0.40145403,0.38420266,0.38302183,0.37517944,0.36922339]","[false,false,false,false,false,false,false,false,false,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,bm25_v1,mit60001-q-010,1,1.0,1,"[""RvRKT-jXvko:semantic_cosine_wp240_v1:21"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:1"",""RvRKT-jXvko:semantic_cosine_wp240_v1:48"",""RvRKT-jXvko:semantic_cosine_wp240_v1:24"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:67"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:29"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:65"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:1"",""FlGjISF3l78:semantic_cosine_wp240_v1:43"",""RvRKT-jXvko:semantic_cosine_wp240_v1:43""]","[18.64919778,13.4268534,12.76402203,11.94848279,10.90869623,10.34949149,10.08918595,9.25662933,8.16072806,8.08841749]","[true,false,false,false,false,false,false,false,false,false]"
mit60001_hybrid_be1b8bf6a64e3b8e,hybrid_rrf_k60_d100_v1,mit60001-q-010,4,0.25,4,"[""RvRKT-jXvko:semantic_cosine_wp240_v1:48"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:1"",""RvRKT-jXvko:semantic_cosine_wp240_v1:24"",""RvRKT-jXvko:semantic_cosine_wp240_v1:21"",""RvRKT-jXvko:semantic_cosine_wp240_v1:43"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:65"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:1"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:3"",""RvRKT-jXvko:semantic_cosine_wp240_v1:2"",""FlGjISF3l78:semantic_cosine_wp240_v1:7""]","[0.03200205,0.03151365,0.03077652,0.03028233,0.03015873,0.02963126,0.02675408,0.02625746,0.0258274,0.02579365]","[false,false,false,true,false,false,false,false,false,false]"
