schema_version,question_id,scope_version,question,category,answerable,expected_answer_points,relevant_video_ids,relevant_time_ranges,review_status,reviewer,review_notes
chunking_evaluation_question_v1,mit60001-q-027,mit_60001_fall_2016_v1,"How does a for loop process the characters in a string?",code_behavior,True,[],[],[],draft,unassigned,"Batch 02 candidate; source evidence has not been verified."
chunking_evaluation_question_v1,mit60001-q-028,mit_60001_fall_2016_v1,"What happens when an assertion in a program fails?",code_behavior,True,[],[],[],draft,unassigned,"Batch 02 candidate; source evidence has not been verified."
chunking_evaluation_question_v1,mit60001-q-029,mit_60001_fall_2016_v1,"How does a function return a value to its caller?",code_behavior,True,[],[],[],draft,unassigned,"Batch 02 candidate; source evidence has not been verified."
chunking_evaluation_question_v1,mit60001-q-030,mit_60001_fall_2016_v1,"What role does self play when a method is called on an object?",code_behavior,True,[],[],[],draft,unassigned,"Batch 02 candidate; source evidence has not been verified."
chunking_evaluation_question_v1,mit60001-q-031,mit_60001_fall_2016_v1,"What happens when a list is mutated through one of several aliases?",code_behavior,True,[],[],[],draft,unassigned,"Batch 02 candidate; source evidence has not been verified."
chunking_evaluation_question_v1,mit60001-q-032,mit_60001_fall_2016_v1,"What happens when an exception is raised and no matching handler is used?",code_behavior,True,[],[],[],draft,unassigned,"Batch 02 candidate; source evidence has not been verified."
chunking_evaluation_question_v1,mit60001-q-033,mit_60001_fall_2016_v1,"How does the course connect decomposition and abstraction when building programs with functions?",multi_chunk,True,[],[],[],draft,unassigned,"Batch 02 candidate expected to require more than one source range; source evidence has not been verified."
chunking_evaluation_question_v1,mit60001-q-034,mit_60001_fall_2016_v1,"How does the course connect testing and debugging when finding program errors?",multi_chunk,True,[],[],[],draft,unassigned,"Batch 02 candidate expected to require more than one source range; source evidence has not been verified."
chunking_evaluation_question_v1,mit60001-q-035,mit_60001_fall_2016_v1,"How does the course connect list aliasing with mutation side effects?",multi_chunk,True,[],[],[],draft,unassigned,"Batch 02 candidate expected to require more than one source range; source evidence has not been verified."
chunking_evaluation_question_v1,mit60001-q-036,mit_60001_fall_2016_v1,"How does the course connect class definition and method calls when using an object?",multi_chunk,True,[],[],[],draft,unassigned,"Batch 02 candidate expected to require more than one source range; source evidence has not been verified."
chunking_evaluation_question_v1,mit60001-q-037,mit_60001_fall_2016_v1,"How do linear search and binary search differ in the number of elements they need to examine?",multi_chunk,True,[],[],[],draft,unassigned,"Revised after coverage review to add searching and efficiency; source evidence has not been verified."
chunking_evaluation_question_v1,mit60001-q-038,mit_60001_fall_2016_v1,"How does the requirement for sorted input distinguish binary search from linear search?",confusable,True,[],[],[],draft,unassigned,"Revised after coverage review to add sorting prerequisite; source evidence has not been verified."
chunking_evaluation_question_v1,mit60001-q-039,mit_60001_fall_2016_v1,"How does the course distinguish black-box testing from glass-box testing?",confusable,True,[],[],[],draft,unassigned,"Batch 02 candidate; source evidence has not been verified."
chunking_evaluation_question_v1,mit60001-q-040,mit_60001_fall_2016_v1,"How does the course distinguish an exception from an assertion failure?",confusable,True,[],[],[],draft,unassigned,"Batch 02 candidate; source evidence has not been verified."
chunking_evaluation_question_v1,mit60001-q-041,mit_60001_fall_2016_v1,"How does the course distinguish a class from an instance of that class?",confusable,True,[],[],[],draft,unassigned,"Batch 02 candidate; source evidence has not been verified."
chunking_evaluation_question_v1,mit60001-q-042,mit_60001_fall_2016_v1,"How do Python type hints work in a FastAPI endpoint?",out_of_scope,False,[],[],[],draft,unassigned,"Out-of-scope Batch 02 candidate; no corpus evidence should be attached."
chunking_evaluation_question_v1,mit60001-q-043,mit_60001_fall_2016_v1,"How do I train a transformer model with PyTorch?",out_of_scope,False,[],[],[],draft,unassigned,"Out-of-scope Batch 02 candidate; no corpus evidence should be attached."
chunking_evaluation_question_v1,mit60001-q-044,mit_60001_fall_2016_v1,"How do I provision cloud infrastructure with Terraform?",out_of_scope,False,[],[],[],draft,unassigned,"Out-of-scope Batch 02 candidate; no corpus evidence should be attached."
