scope_version,playlist_position,video_id,title,language_code,language,is_generated,fetched_at,fetched_at_parseable,segment_count,empty_segment_count,leading_or_trailing_whitespace_segments,multiline_segment_count,contains_cr_segment_count,contains_tab_segment_count,contains_nbsp_segment_count,contains_zero_width_segment_count,contains_replacement_character_segment_count,non_nfc_segment_count,multiple_ascii_space_segment_count,line_with_edge_whitespace_segment_count,bracket_only_cue_segment_count,parenthetical_only_cue_segment_count,html_tag_segment_count,html_entity_segment_count,exact_adjacent_duplicate_count,normalized_adjacent_duplicate_count,adjacent_text_containment_count,invalid_start_count,nonpositive_duration_count,out_of_order_segment_count,overlapping_segment_count,transcript_length,maximum_end_second,python_code_signal_count,validation_status
mit_60001_fall_2016_v1,10,SE4P7IVCunE,"3. String Manipulation, Guess and Check, Approximations, Bisection",en,English - CC,False,2026-07-23T14:02:17.859803+00:00,True,856,0,0,619,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,100,34694,2694.38,131,passed
mit_60001_fall_2016_v1,11,-jjUoTiaSHw,String Manipulations,en,English - CC,False,2026-06-26T08:50:49.310090+00:00,True,53,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2071,184.57,6,passed
mit_60001_fall_2016_v1,12,4WtaFLayz_w,For Loops With Strings,en,English - CC,False,2026-07-23T14:02:49.408291+00:00,True,86,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3286,258.5,22,passed
mit_60001_fall_2016_v1,13,MjbuarJ7SE0,"4. Decomposition, Abstraction, and Functions",en,English - CC,False,2026-07-23T14:03:30.856610+00:00,True,824,0,0,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,33931,2460.99,123,passed
mit_60001_fall_2016_v1,14,4gPwo38MNss,Function Calls,en,English - CC,False,2026-07-23T14:04:22.545106+00:00,True,49,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1938,153.11,18,passed
mit_60001_fall_2016_v1,15,QaOHeMnpnmU,Functions as Arguments,en,English - CC,False,2026-07-23T14:05:17.993311+00:00,True,56,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1983,211.54,5,passed
mit_60001_fall_2016_v1,16,RvRKT-jXvko,"5. Tuples, Lists, Aliasing, Mutability, and Cloning",en,English - CC,False,2026-07-23T14:05:41.583906+00:00,True,818,0,0,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,95,33000,2479.49,99,passed
mit_60001_fall_2016_v1,17,ncpb4wIsQu8,Tuples,en,English - CC,False,2026-07-23T14:06:41.618989+00:00,True,52,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2092,206.61,1,passed
mit_60001_fall_2016_v1,18,zYVWQpCitKQ,Simple Lists,en,English - CC,False,2026-07-23T14:07:40.076767+00:00,True,49,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2050,167.73,7,passed
mit_60001_fall_2016_v1,19,SrkqbLOQcEo,List Operations,en,English - CC,False,2026-07-23T14:08:14.645488+00:00,True,51,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1898,186.51,2,passed
mit_60001_fall_2016_v1,20,FKp-6sojt9A,List Aliasing/Mutation,en,English - CC,False,2026-07-23T14:09:03.798216+00:00,True,32,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1234,114.45,2,passed
mit_60001_fall_2016_v1,21,WPSeyjX1-4s,6. Recursion and Dictionaries,en,English - CC,False,2026-07-23T14:09:44.521753+00:00,True,1071,0,0,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,46041,2893.41,165,passed
mit_60001_fall_2016_v1,22,9H6muyZjms0,"7. Testing, Debugging, Exceptions, and Assertions",en,English - CC,False,2026-07-23T14:10:19.410428+00:00,True,838,0,0,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,79,33854,2485.26,188,passed
mit_60001_fall_2016_v1,23,5McjE8e5gIg,Black Box and Glass Box Testing,en,English - CC,False,2026-07-23T14:10:56.762193+00:00,True,33,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1316,122.89,12,passed
mit_60001_fall_2016_v1,24,-wz4iU2V-Yo,Errors,en,English - CC,False,2026-06-26T09:32:07.248808+00:00,True,23,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903,75.381,5,passed
mit_60001_fall_2016_v1,25,0Whyfs88TYE,Exceptions,en,English - CC,False,2026-07-23T14:11:49.303741+00:00,True,57,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2271,159.64,9,passed
mit_60001_fall_2016_v1,26,-DP1i2ZU9gk,8. Object Oriented Programming,en,English - CC,False,2026-06-25T09:15:39.234292+00:00,True,813,0,0,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,33151,2497.08,176,passed
mit_60001_fall_2016_v1,27,vqn_yk5aFcI,Class Definition,en,English - CC,False,2026-07-23T14:12:40.994425+00:00,True,16,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,48.957,5,passed
mit_60001_fall_2016_v1,28,2__KumJsGXc,Class Instance,en,English - CC,False,2026-07-23T14:13:02.500861+00:00,True,46,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1809,140.72,14,passed
mit_60001_fall_2016_v1,29,goalLDamePE,Methods,en,English - CC,False,2026-07-23T14:13:27.212791+00:00,True,26,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1091,84.95,4,passed
mit_60001_fall_2016_v1,30,_ax4eNMI9Dw,Method Call,en,English - CC,False,2026-06-26T10:09:51.769405+00:00,True,34,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1359,105.497,4,passed
mit_60001_fall_2016_v1,31,qq7I2MQNrtU,Special Methods,en,English - CC,False,2026-07-23T14:13:54.678592+00:00,True,44,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1624,131.133,8,passed
mit_60001_fall_2016_v1,32,FlGjISF3l78,9. Python Classes and Inheritance,en,English - CC,False,2026-07-23T14:14:44.740896+00:00,True,924,0,0,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,116,38845,2839.45,210,passed
mit_60001_fall_2016_v1,33,C_pgH5QhIZ8,Getters and Setters,en,English - CC,False,2026-07-23T14:15:34.576963+00:00,True,35,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1481,105.11,11,passed
mit_60001_fall_2016_v1,34,8s0d87sjy1A,Subclass,en,English - CC,False,2026-07-23T14:16:27.987554+00:00,True,57,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2185,165.243,14,passed
mit_60001_fall_2016_v1,35,o9nW0uBqvEo,"10. Understanding Program Efficiency, Part 1",en,English - CC,False,2026-07-23T14:17:03.828706+00:00,True,1262,0,0,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,49645,3085.153,156,passed
mit_60001_fall_2016_v1,36,7lQXYl_L28w,"11. Understanding Program Efficiency, Part 2",en,English - CC,False,2026-07-23T14:18:02.331002+00:00,True,1160,0,0,817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,157,46313,2952.358,144,passed
mit_60001_fall_2016_v1,37,6LOwPhPDwVc,12. Searching and Sorting,en,English - CC,False,2026-07-23T14:18:25.669817+00:00,True,1198,0,0,752,0,0,0,0,0,0,0,0,6,0,0,0,6,0,3,0,0,0,139,45178,2903.75,88,passed
