scope_version,playlist_id,playlist_position,video_id,title,included
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,28,2__KumJsGXc,Class Instance,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,29,goalLDamePE,Methods,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,30,_ax4eNMI9Dw,Method Call,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,31,qq7I2MQNrtU,Special Methods,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,32,FlGjISF3l78,9. Python Classes and Inheritance,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,33,C_pgH5QhIZ8,Getters and Setters,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,34,8s0d87sjy1A,Subclass,True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,35,o9nW0uBqvEo,"10. Understanding Program Efficiency, Part 1",True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,36,7lQXYl_L28w,"11. Understanding Program Efficiency, Part 2",True
mit_60001_fall_2016_v1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,37,6LOwPhPDwVc,12. Searching and Sorting,True
