reranking_run_id,question_id,question,category,dense_first_relevant_rank,reranked_first_relevant_rank,reranked_first_rank_delta_vs_dense,first_rank_outcome,dense_chunks_to_full_coverage,reranked_chunks_to_full_coverage,reranked_full_coverage_rank_delta_vs_dense,full_coverage_outcome,dense_top_3_relevant_count,reranked_top_3_relevant_count,top_3_overlap_count,dense_top_3_chunk_ids_json,reranked_top_3_chunk_ids_json,review_status
mit60001_rerank_46564f781c27d679,mit60001-q-018,What does black-box testing examine according to the course?,factual,2,1,-1,improved,2,1,-1,improved,1,1,3,"[""9H6muyZjms0:semantic_cosine_wp240_v1:15"",""9H6muyZjms0:semantic_cosine_wp240_v1:13"",""9H6muyZjms0:semantic_cosine_wp240_v1:14""]","[""9H6muyZjms0:semantic_cosine_wp240_v1:13"",""9H6muyZjms0:semantic_cosine_wp240_v1:15"",""9H6muyZjms0:semantic_cosine_wp240_v1:14""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-019,"According to the lecture, what is the goal of bisection search?",factual,1,4,3,worse,1,4,3,worse,1,0,2,"[""6LOwPhPDwVc:semantic_cosine_wp240_v1:2"",""SE4P7IVCunE:semantic_cosine_wp240_v1:53"",""7lQXYl_L28w:semantic_cosine_wp240_v1:13""]","[""7lQXYl_L28w:semantic_cosine_wp240_v1:13"",""SE4P7IVCunE:semantic_cosine_wp240_v1:52"",""SE4P7IVCunE:semantic_cosine_wp240_v1:53""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-020,"How does the lecture use len, indexing, and slicing to inspect or extract parts of a string?",factual,1,1,0,equal,3,4,1,worse,2,2,1,"[""SE4P7IVCunE:semantic_cosine_wp240_v1:4"",""SE4P7IVCunE:semantic_cosine_wp240_v1:12"",""SE4P7IVCunE:semantic_cosine_wp240_v1:9""]","[""SE4P7IVCunE:semantic_cosine_wp240_v1:9"",""RvRKT-jXvko:semantic_cosine_wp240_v1:23"",""SE4P7IVCunE:semantic_cosine_wp240_v1:10""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-021,How does the course explain the role of Boolean comparisons in branching?,concept_explanation,1,6,5,worse,1,6,5,worse,1,0,0,"[""0jljZRnHwOI:semantic_cosine_wp240_v1:20"",""FlGjISF3l78:semantic_cosine_wp240_v1:64"",""SE4P7IVCunE:semantic_cosine_wp240_v1:28""]","[""0jljZRnHwOI:semantic_cosine_wp240_v1:19"",""0jljZRnHwOI:semantic_cosine_wp240_v1:18"",""0jljZRnHwOI:semantic_cosine_wp240_v1:16""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-022,Why is a dictionary more suitable than a list for key-value lookup?,concept_explanation,3,5,2,worse,9,13,4,worse,1,0,1,"[""WPSeyjX1-4s:semantic_cosine_wp240_v1:64"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:59"",""7lQXYl_L28w:semantic_cosine_wp240_v1:84""]","[""WPSeyjX1-4s:semantic_cosine_wp240_v1:65"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:64"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:61""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-023,How does the course explain abstraction when functions are used in a program?,concept_explanation,6,10,4,worse,12,26,14,worse,0,0,1,"[""RvRKT-jXvko:semantic_cosine_wp240_v1:0"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:54"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:6""]","[""MjbuarJ7SE0:semantic_cosine_wp240_v1:13"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:6"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:15""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-025,How does the course explain the role of inheritance in object-oriented programming?,concept_explanation,2,47,45,worse,2,47,45,worse,1,0,1,"[""FlGjISF3l78:semantic_cosine_wp240_v1:1"",""FlGjISF3l78:semantic_cosine_wp240_v1:32"",""FlGjISF3l78:semantic_cosine_wp240_v1:7""]","[""FlGjISF3l78:semantic_cosine_wp240_v1:1"",""FlGjISF3l78:semantic_cosine_wp240_v1:66"",""FlGjISF3l78:semantic_cosine_wp240_v1:28""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-026,What happens when a list element is accessed using an index?,code_behavior,1,1,0,equal,4,18,14,worse,1,1,2,"[""-DP1i2ZU9gk:semantic_cosine_wp240_v1:8"",""RvRKT-jXvko:semantic_cosine_wp240_v1:23"",""7lQXYl_L28w:semantic_cosine_wp240_v1:16""]","[""-DP1i2ZU9gk:semantic_cosine_wp240_v1:8"",""RvRKT-jXvko:semantic_cosine_wp240_v1:26"",""RvRKT-jXvko:semantic_cosine_wp240_v1:23""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-027,How does a for loop process the characters in a string?,code_behavior,3,8,5,worse,3,8,5,worse,1,0,1,"[""SE4P7IVCunE:semantic_cosine_wp240_v1:17"",""zYVWQpCitKQ:semantic_cosine_wp240_v1:1"",""SE4P7IVCunE:semantic_cosine_wp240_v1:21""]","[""RvRKT-jXvko:semantic_cosine_wp240_v1:15"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:71"",""SE4P7IVCunE:semantic_cosine_wp240_v1:17""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-029,How does a function return a value to its caller?,code_behavior,2,3,1,worse,2,3,1,worse,2,1,2,"[""MjbuarJ7SE0:semantic_cosine_wp240_v1:27"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:20"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:21""]","[""MjbuarJ7SE0:semantic_cosine_wp240_v1:27"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:29"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:21""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-030,What role does self play when a method is called on an object?,code_behavior,1,1,0,equal,2,1,-1,improved,2,1,1,"[""-DP1i2ZU9gk:semantic_cosine_wp240_v1:21"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:22"",""FlGjISF3l78:semantic_cosine_wp240_v1:5""]","[""-DP1i2ZU9gk:semantic_cosine_wp240_v1:22"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:28"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:25""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-031,What happens when a list is mutated through one of several aliases?,code_behavior,3,8,5,worse,5,10,5,worse,1,0,1,"[""RvRKT-jXvko:semantic_cosine_wp240_v1:47"",""RvRKT-jXvko:semantic_cosine_wp240_v1:37"",""RvRKT-jXvko:semantic_cosine_wp240_v1:49""]","[""WPSeyjX1-4s:semantic_cosine_wp240_v1:1"",""RvRKT-jXvko:semantic_cosine_wp240_v1:37"",""RvRKT-jXvko:semantic_cosine_wp240_v1:31""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-032,What happens when an exception is raised and no matching handler is used?,code_behavior,3,1,-2,improved,4,4,0,equal,1,1,2,"[""9H6muyZjms0:semantic_cosine_wp240_v1:31"",""9H6muyZjms0:semantic_cosine_wp240_v1:37"",""9H6muyZjms0:semantic_cosine_wp240_v1:41""]","[""9H6muyZjms0:semantic_cosine_wp240_v1:41"",""9H6muyZjms0:semantic_cosine_wp240_v1:37"",""9H6muyZjms0:semantic_cosine_wp240_v1:32""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-033,How does the course connect decomposition and abstraction when building programs with functions?,multi_chunk,2,2,0,equal,2,2,0,equal,1,1,2,"[""RvRKT-jXvko:semantic_cosine_wp240_v1:0"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:13"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:54""]","[""MjbuarJ7SE0:semantic_cosine_wp240_v1:6"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:13"",""RvRKT-jXvko:semantic_cosine_wp240_v1:0""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-034,How does the course connect testing and debugging when finding program errors?,multi_chunk,2,2,0,equal,5,3,-2,improved,1,2,2,"[""9H6muyZjms0:semantic_cosine_wp240_v1:31"",""9H6muyZjms0:semantic_cosine_wp240_v1:25"",""9H6muyZjms0:semantic_cosine_wp240_v1:20""]","[""9H6muyZjms0:semantic_cosine_wp240_v1:31"",""9H6muyZjms0:semantic_cosine_wp240_v1:25"",""9H6muyZjms0:semantic_cosine_wp240_v1:7""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-035,How does the course connect list aliasing with mutation side effects?,multi_chunk,2,1,-1,improved,4,2,-2,improved,1,2,1,"[""RvRKT-jXvko:semantic_cosine_wp240_v1:47"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:1"",""RvRKT-jXvko:semantic_cosine_wp240_v1:37""]","[""WPSeyjX1-4s:semantic_cosine_wp240_v1:1"",""RvRKT-jXvko:semantic_cosine_wp240_v1:50"",""RvRKT-jXvko:semantic_cosine_wp240_v1:44""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-037,How do linear search and binary search differ in the number of elements they need to examine?,multi_chunk,1,2,1,worse,6,3,-3,improved,1,2,1,"[""7lQXYl_L28w:semantic_cosine_wp240_v1:13"",""6LOwPhPDwVc:semantic_cosine_wp240_v1:2"",""6LOwPhPDwVc:semantic_cosine_wp240_v1:3""]","[""6LOwPhPDwVc:semantic_cosine_wp240_v1:14"",""7lQXYl_L28w:semantic_cosine_wp240_v1:13"",""6LOwPhPDwVc:semantic_cosine_wp240_v1:4""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-038,How does the requirement for sorted input distinguish binary search from linear search?,confusable,5,2,-3,improved,5,2,-3,improved,0,1,2,"[""6LOwPhPDwVc:semantic_cosine_wp240_v1:14"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:70"",""7lQXYl_L28w:semantic_cosine_wp240_v1:13""]","[""6LOwPhPDwVc:semantic_cosine_wp240_v1:14"",""6LOwPhPDwVc:semantic_cosine_wp240_v1:4"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:70""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-039,How does the course distinguish black-box testing from glass-box testing?,confusable,1,1,0,equal,2,2,0,equal,2,2,2,"[""9H6muyZjms0:semantic_cosine_wp240_v1:15"",""9H6muyZjms0:semantic_cosine_wp240_v1:13"",""9H6muyZjms0:semantic_cosine_wp240_v1:17""]","[""9H6muyZjms0:semantic_cosine_wp240_v1:13"",""9H6muyZjms0:semantic_cosine_wp240_v1:15"",""9H6muyZjms0:semantic_cosine_wp240_v1:14""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-040,How does the course distinguish an exception from an assertion failure?,confusable,4,5,1,worse,4,5,1,worse,0,0,2,"[""9H6muyZjms0:semantic_cosine_wp240_v1:51"",""9H6muyZjms0:semantic_cosine_wp240_v1:31"",""9H6muyZjms0:semantic_cosine_wp240_v1:49""]","[""9H6muyZjms0:semantic_cosine_wp240_v1:49"",""9H6muyZjms0:semantic_cosine_wp240_v1:31"",""9H6muyZjms0:semantic_cosine_wp240_v1:50""]",pending_human_decision
mit60001_rerank_46564f781c27d679,mit60001-q-041,How does the course distinguish a class from an instance of that class?,confusable,5,6,1,worse,9,12,3,worse,0,0,0,"[""vqn_yk5aFcI:semantic_cosine_wp240_v1:0"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:42"",""2__KumJsGXc:semantic_cosine_wp240_v1:0""]","[""FlGjISF3l78:semantic_cosine_wp240_v1:7"",""FlGjISF3l78:semantic_cosine_wp240_v1:52"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:22""]",pending_human_decision
