question_id,question_en,category,selection_status,primary_candidate_rank,supporting_candidate_ranks,selected_candidate_ranks,selected_evidence,selection_source,selection_note
mit60001-q-035,How does the course connect list aliasing with mutation side effects?,multi_chunk,selected,5,[1],"[5,1]","[{""role"":""Primary"",""candidate_rank"":5,""video_id"":""RvRKT-jXvko"",""source_segment_start_index"":695,""source_segment_end_index"":706,""start_second"":2071.15,""end_second"":2112.92},{""role"":""Supporting"",""candidate_rank"":1,""video_id"":""WPSeyjX1-4s"",""source_segment_start_index"":23,""source_segment_end_index"":34,""start_second"":76.29,""end_second"":105.507}]",evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),Human-selected range set: one Primary plus only Supporting evidence.
mit60001-q-036,How does the course connect class definition and method calls when using an object?,multi_chunk,selected,1,[],[1],"[{""role"":""Primary"",""candidate_rank"":1,""video_id"":""-DP1i2ZU9gk"",""source_segment_start_index"":204,""source_segment_end_index"":218,""start_second"":565.6,""end_second"":609.43}]",evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),Human-selected range set: one Primary plus only Supporting evidence.
mit60001-q-037,How do linear search and binary search differ in the number of elements they need to examine?,multi_chunk,selected,4,[1],"[4,1]","[{""role"":""Primary"",""candidate_rank"":4,""video_id"":""6LOwPhPDwVc"",""source_segment_start_index"":75,""source_segment_end_index"":86,""start_second"":196.38,""end_second"":222.87},{""role"":""Supporting"",""candidate_rank"":1,""video_id"":""7lQXYl_L28w"",""source_segment_start_index"":196,""source_segment_end_index"":205,""start_second"":493.21,""end_second"":518.325}]",evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),Human-selected range set: one Primary plus only Supporting evidence.
mit60001-q-038,How does the requirement for sorted input distinguish binary search from linear search?,confusable,selected,3,[5],"[3,5]","[{""role"":""Primary"",""candidate_rank"":3,""video_id"":""6LOwPhPDwVc"",""source_segment_start_index"":75,""source_segment_end_index"":86,""start_second"":196.38,""end_second"":222.87},{""role"":""Supporting"",""candidate_rank"":5,""video_id"":""6LOwPhPDwVc"",""source_segment_start_index"":63,""source_segment_end_index"":74,""start_second"":169.487,""end_second"":196.38}]",evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),Human-selected range set: one Primary plus only Supporting evidence.
mit60001-q-039,How does the course distinguish black-box testing from glass-box testing?,confusable,selected,1,[2],"[1,2]","[{""role"":""Primary"",""candidate_rank"":1,""video_id"":""9H6muyZjms0"",""source_segment_start_index"":216,""source_segment_end_index"":227,""start_second"":508.13,""end_second"":541.32},{""role"":""Supporting"",""candidate_rank"":2,""video_id"":""9H6muyZjms0"",""source_segment_start_index"":253,""source_segment_end_index"":265,""start_second"":613.72,""end_second"":654.36}]",evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),Human-selected range set: one Primary plus only Supporting evidence.
mit60001-q-040,How does the course distinguish an exception from an assertion failure?,confusable,selected,2,[],[2],"[{""role"":""Primary"",""candidate_rank"":2,""video_id"":""9H6muyZjms0"",""source_segment_start_index"":821,""source_segment_end_index"":832,""start_second"":2432.15,""end_second"":2475.864}]",evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),Human-selected range set: one Primary plus only Supporting evidence.
mit60001-q-041,How does the course distinguish a class from an instance of that class?,confusable,selected,5,[3],"[5,3]","[{""role"":""Primary"",""candidate_rank"":5,""video_id"":""-DP1i2ZU9gk"",""source_segment_start_index"":204,""source_segment_end_index"":218,""start_second"":565.6,""end_second"":609.43},{""role"":""Supporting"",""candidate_rank"":3,""video_id"":""FlGjISF3l78"",""source_segment_start_index"":65,""source_segment_end_index"":78,""start_second"":187.98,""end_second"":225.61}]",evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),Human-selected range set: one Primary plus only Supporting evidence.
mit60001-q-042,How do Python type hints work in a FastAPI endpoint?,out_of_scope,out_of_scope,,[],[],[],evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),No evidence range selected; this question remains out of scope.
mit60001-q-043,How do I train a transformer model with PyTorch?,out_of_scope,out_of_scope,,[],[],[],evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),No evidence range selected; this question remains out of scope.
mit60001-q-044,How do I provision cloud infrastructure with Terraform?,out_of_scope,out_of_scope,,[],[],[],evaluation/review/batch_02/decisions/batch_02_source_candidates_review_benchmark.xlsx (Candidate Review / Evidence Role),No evidence range selected; this question remains out of scope.
