question_id,question,locked_baseline_decision,current_control_decision,candidate_v2_decision,baseline_to_control_decision_changed,control_to_candidate_decision_changed,locked_baseline_supporting_chunk_ids,current_control_supporting_chunk_ids,candidate_v2_supporting_chunk_ids
mit60001-q-015,"According to the course, how is using the shell different from using the editor?",accept,accept,accept,False,False,"[""nykOeWgQcHM:semantic_cosine_wp240_v1:39""]","[""nykOeWgQcHM:semantic_cosine_wp240_v1:39""]","[""nykOeWgQcHM:semantic_cosine_wp240_v1:39"",""nykOeWgQcHM:semantic_cosine_wp240_v1:44""]"
mit60001-q-016,"According to the course, what does an assertion check in a program?",accept,accept,accept,False,False,"[""9H6muyZjms0:semantic_cosine_wp240_v1:51""]","[""9H6muyZjms0:semantic_cosine_wp240_v1:51""]","[""9H6muyZjms0:semantic_cosine_wp240_v1:51""]"
mit60001-q-017,What does the course say is the purpose of exception handling?,accept,accept,accept,False,False,"[""9H6muyZjms0:semantic_cosine_wp240_v1:31""]","[""9H6muyZjms0:semantic_cosine_wp240_v1:31""]","[""9H6muyZjms0:semantic_cosine_wp240_v1:31""]"
mit60001-q-018,What does black-box testing examine according to the course?,accept,accept,accept,False,False,"[""9H6muyZjms0:semantic_cosine_wp240_v1:13""]","[""9H6muyZjms0:semantic_cosine_wp240_v1:13""]","[""9H6muyZjms0:semantic_cosine_wp240_v1:13"",""9H6muyZjms0:semantic_cosine_wp240_v1:14""]"
mit60001-q-019,"According to the lecture, what is the goal of bisection search?",accept,reject,accept,True,True,"[""6LOwPhPDwVc:semantic_cosine_wp240_v1:2""]",[],"[""6LOwPhPDwVc:semantic_cosine_wp240_v1:2"",""SE4P7IVCunE:semantic_cosine_wp240_v1:53"",""7lQXYl_L28w:semantic_cosine_wp240_v1:13""]"
mit60001-q-020,"How does the lecture use len, indexing, and slicing to inspect or extract parts of a string?",accept,accept,accept,False,False,"[""SE4P7IVCunE:semantic_cosine_wp240_v1:12"",""SE4P7IVCunE:semantic_cosine_wp240_v1:9""]","[""SE4P7IVCunE:semantic_cosine_wp240_v1:12"",""SE4P7IVCunE:semantic_cosine_wp240_v1:9""]","[""SE4P7IVCunE:semantic_cosine_wp240_v1:4"",""SE4P7IVCunE:semantic_cosine_wp240_v1:9"",""SE4P7IVCunE:semantic_cosine_wp240_v1:12""]"
mit60001-q-021,How does the course explain the role of Boolean comparisons in branching?,reject,reject,accept,False,True,[],[],"[""0jljZRnHwOI:semantic_cosine_wp240_v1:20"",""FlGjISF3l78:semantic_cosine_wp240_v1:64"",""SE4P7IVCunE:semantic_cosine_wp240_v1:28""]"
mit60001-q-022,Why is a dictionary more suitable than a list for key-value lookup?,accept,accept,accept,False,False,"[""WPSeyjX1-4s:semantic_cosine_wp240_v1:64"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:59"",""7lQXYl_L28w:semantic_cosine_wp240_v1:84""]","[""WPSeyjX1-4s:semantic_cosine_wp240_v1:64"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:59"",""7lQXYl_L28w:semantic_cosine_wp240_v1:84""]","[""WPSeyjX1-4s:semantic_cosine_wp240_v1:64"",""WPSeyjX1-4s:semantic_cosine_wp240_v1:59"",""7lQXYl_L28w:semantic_cosine_wp240_v1:84""]"
mit60001-q-023,How does the course explain abstraction when functions are used in a program?,reject,reject,accept,False,True,[],[],"[""MjbuarJ7SE0:semantic_cosine_wp240_v1:6"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:54""]"
mit60001-q-025,How does the course explain the role of inheritance in object-oriented programming?,reject,reject,reject,False,False,[],[],[]
mit60001-q-026,What happens when a list element is accessed using an index?,accept,accept,accept,False,False,"[""-DP1i2ZU9gk:semantic_cosine_wp240_v1:8""]","[""-DP1i2ZU9gk:semantic_cosine_wp240_v1:8""]","[""-DP1i2ZU9gk:semantic_cosine_wp240_v1:8"",""RvRKT-jXvko:semantic_cosine_wp240_v1:23"",""7lQXYl_L28w:semantic_cosine_wp240_v1:16""]"
mit60001-q-027,How does a for loop process the characters in a string?,accept,accept,accept,False,False,"[""SE4P7IVCunE:semantic_cosine_wp240_v1:21""]","[""SE4P7IVCunE:semantic_cosine_wp240_v1:21""]","[""zYVWQpCitKQ:semantic_cosine_wp240_v1:1"",""SE4P7IVCunE:semantic_cosine_wp240_v1:21""]"
mit60001-q-029,How does a function return a value to its caller?,accept,accept,accept,False,False,"[""MjbuarJ7SE0:semantic_cosine_wp240_v1:27""]","[""MjbuarJ7SE0:semantic_cosine_wp240_v1:27""]","[""MjbuarJ7SE0:semantic_cosine_wp240_v1:20"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:21"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:27""]"
mit60001-q-030,What role does self play when a method is called on an object?,accept,accept,accept,False,False,"[""-DP1i2ZU9gk:semantic_cosine_wp240_v1:21"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:22"",""FlGjISF3l78:semantic_cosine_wp240_v1:5""]","[""-DP1i2ZU9gk:semantic_cosine_wp240_v1:21"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:22"",""FlGjISF3l78:semantic_cosine_wp240_v1:5""]","[""-DP1i2ZU9gk:semantic_cosine_wp240_v1:21"",""-DP1i2ZU9gk:semantic_cosine_wp240_v1:22"",""FlGjISF3l78:semantic_cosine_wp240_v1:5""]"
mit60001-q-031,What happens when a list is mutated through one of several aliases?,accept,accept,accept,False,False,"[""RvRKT-jXvko:semantic_cosine_wp240_v1:47""]","[""RvRKT-jXvko:semantic_cosine_wp240_v1:47""]","[""RvRKT-jXvko:semantic_cosine_wp240_v1:37"",""RvRKT-jXvko:semantic_cosine_wp240_v1:49""]"
mit60001-q-032,What happens when an exception is raised and no matching handler is used?,reject,reject,reject,False,False,[],[],[]
mit60001-q-033,How does the course connect decomposition and abstraction when building programs with functions?,accept,accept,accept,False,False,"[""MjbuarJ7SE0:semantic_cosine_wp240_v1:13""]","[""MjbuarJ7SE0:semantic_cosine_wp240_v1:13""]","[""MjbuarJ7SE0:semantic_cosine_wp240_v1:13"",""MjbuarJ7SE0:semantic_cosine_wp240_v1:54""]"
mit60001-q-034,How does the course connect testing and debugging when finding program errors?,accept,accept,accept,False,False,"[""9H6muyZjms0:semantic_cosine_wp240_v1:25""]","[""9H6muyZjms0:semantic_cosine_wp240_v1:25""]","[""9H6muyZjms0:semantic_cosine_wp240_v1:25"",""9H6muyZjms0:semantic_cosine_wp240_v1:31""]"
mit60001-q-035,How does the course connect list aliasing with mutation side effects?,accept,accept,accept,False,False,"[""WPSeyjX1-4s:semantic_cosine_wp240_v1:1""]","[""WPSeyjX1-4s:semantic_cosine_wp240_v1:1""]","[""WPSeyjX1-4s:semantic_cosine_wp240_v1:1"",""RvRKT-jXvko:semantic_cosine_wp240_v1:47""]"
mit60001-q-037,How do linear search and binary search differ in the number of elements they need to examine?,reject,reject,reject,False,False,[],[],[]
mit60001-q-038,How does the requirement for sorted input distinguish binary search from linear search?,accept,accept,accept,False,False,"[""6LOwPhPDwVc:semantic_cosine_wp240_v1:14""]","[""6LOwPhPDwVc:semantic_cosine_wp240_v1:14""]","[""6LOwPhPDwVc:semantic_cosine_wp240_v1:14"",""o9nW0uBqvEo:semantic_cosine_wp240_v1:70"",""7lQXYl_L28w:semantic_cosine_wp240_v1:13""]"
mit60001-q-039,How does the course distinguish black-box testing from glass-box testing?,accept,accept,accept,False,False,"[""9H6muyZjms0:semantic_cosine_wp240_v1:13"",""9H6muyZjms0:semantic_cosine_wp240_v1:15""]","[""9H6muyZjms0:semantic_cosine_wp240_v1:13"",""9H6muyZjms0:semantic_cosine_wp240_v1:15""]","[""9H6muyZjms0:semantic_cosine_wp240_v1:13"",""9H6muyZjms0:semantic_cosine_wp240_v1:15"",""9H6muyZjms0:semantic_cosine_wp240_v1:17""]"
mit60001-q-040,How does the course distinguish an exception from an assertion failure?,accept,accept,accept,False,False,"[""9H6muyZjms0:semantic_cosine_wp240_v1:51""]","[""9H6muyZjms0:semantic_cosine_wp240_v1:51""]","[""9H6muyZjms0:semantic_cosine_wp240_v1:51""]"
mit60001-q-041,How does the course distinguish a class from an instance of that class?,reject,reject,reject,False,False,[],[],[]
mit60001-q-042,How do Python type hints work in a FastAPI endpoint?,reject,reject,reject,False,False,[],[],[]
mit60001-q-043,How do I train a transformer model with PyTorch?,reject,reject,reject,False,False,[],[],[]
mit60001-q-044,How do I provision cloud infrastructure with Terraform?,reject,reject,reject,False,False,[],[],[]
