question_id,question,answerable,calibration_class,calibration_basis,expected_decision,predicted_decision,decision_correct,classification,supporting_chunk_ids,decision_reason
mit60001-q-014,What is the difference between a Python list and a dictionary?,True,strong_reject,retrieval_miss_no_credited_evidence_in_top3,reject,accept,False,D_potential_false_accept,RvRKT-jXvko:semantic_cosine_wp240_v1:24,The candidate excerpt directly supports the answer that lists are mutable objects.
mit60001-q-015,"According to the course, how is using the shell different from using the editor?",True,strong_accept,full_credited_ground_truth_coverage,accept,accept,True,A_success_decision,nykOeWgQcHM:semantic_cosine_wp240_v1:39,"The candidate excerpt directly supports the answer that using the shell is different from using the editor in that shell commands are simple and used for testing, while editor commands are more lines and complicated programs."
mit60001-q-016,"According to the course, what does an assertion check in a program?",True,strong_accept,full_credited_ground_truth_coverage,accept,accept,True,A_success_decision,9H6muyZjms0:semantic_cosine_wp240_v1:51,The candidate excerpt directly supports the answer that an assertion check in a program prevents the program from propagating bad values.
mit60001-q-018,What does black-box testing examine according to the course?,True,strong_accept,full_credited_ground_truth_coverage,accept,accept,True,A_success_decision,9H6muyZjms0:semantic_cosine_wp240_v1:13,The excerpt directly supports the answer that black-box testing examines the specifications of a function.
mit60001-q-019,"According to the lecture, what is the goal of bisection search?",True,strong_accept,full_credited_ground_truth_coverage,accept,accept,True,A_success_decision,6LOwPhPDwVc:semantic_cosine_wp240_v1:2,"The candidate excerpt directly supports the answer that the goal of bisection search is to find an item or a group of items from a collection, whether the collection is implicit or explicit."
mit60001-q-020,"How does the lecture use len, indexing, and slicing to inspect or extract parts of a string?",True,strong_accept,full_credited_ground_truth_coverage,accept,accept,True,A_success_decision,"SE4P7IVCunE:semantic_cosine_wp240_v1:12
SE4P7IVCunE:semantic_cosine_wp240_v1:9","The candidate excerpt directly supports the answer. The chunk_id 'SE4P7IVCunE:semantic_cosine_wp240_v1:12' mentions 'reverses the string automatically for you' which is equivalent to getting the inverse of the string, and the chunk_id 'SE4P7IVCunE:semantic_cosine_wp240_v1:9' explains how slicing works with a start, stop, and step index."
mit60001-q-021,How does the course explain the role of Boolean comparisons in branching?,True,strong_accept,full_credited_ground_truth_coverage,accept,reject,False,B_reviewer_false_reject,,None of the candidate excerpts directly explain the role of Boolean comparisons in branching.
mit60001-q-025,How does the course explain the role of inheritance in object-oriented programming?,True,strong_accept,full_credited_ground_truth_coverage,accept,reject,False,B_reviewer_false_reject,,The provided excerpts do not directly explain the role of inheritance in object-oriented programming.
mit60001-q-027,How does a for loop process the characters in a string?,True,strong_accept,full_credited_ground_truth_coverage,accept,accept,True,A_success_decision,SE4P7IVCunE:semantic_cosine_wp240_v1:21,"The candidate excerpt directly supports the answer that a for loop processes the characters in a string by iterating over every character in the string, as shown in the example 'char is going to be a letter. It's going to be a letter. So here's a more complicated example.'"
mit60001-q-029,How does a function return a value to its caller?,True,strong_accept,full_credited_ground_truth_coverage,accept,accept,True,A_success_decision,MjbuarJ7SE0:semantic_cosine_wp240_v1:27,"The candidate excerpt at rank 1 directly supports the answer. It explains how a function returns a value to its caller by stating 'so we're returning x' and 'so in the scope of f, x is equal to 4, so we're returning that value back to whoever called it'."
mit60001-q-030,What role does self play when a method is called on an object?,True,strong_accept,full_credited_ground_truth_coverage,accept,accept,True,A_success_decision,"-DP1i2ZU9gk:semantic_cosine_wp240_v1:21
-DP1i2ZU9gk:semantic_cosine_wp240_v1:22
FlGjISF3l78:semantic_cosine_wp240_v1:5","The candidate excerpt directly supports the answer that 'self' plays the role of a placeholder for any sort of instance when creating an object, and is used to refer to attributes and methods of an instance."
mit60001-q-033,How does the course connect decomposition and abstraction when building programs with functions?,True,strong_accept,full_credited_ground_truth_coverage,accept,accept,True,A_success_decision,MjbuarJ7SE0:semantic_cosine_wp240_v1:13,"The candidate excerpt at rank 2 directly supports the answer. It explains how abstraction is used in programming by suppressing details, allowing for reusable code and reducing debugging time."
mit60001-q-038,How does the requirement for sorted input distinguish binary search from linear search?,True,strong_reject,retrieval_miss_no_credited_evidence_in_top3,reject,accept,False,D_potential_false_accept,6LOwPhPDwVc:semantic_cosine_wp240_v1:14,"The candidate excerpt directly supports the answer by explaining that the requirement for sorted input distinguishes binary search from linear search, as binary search can be done in log time, whereas linear search has a linear time complexity."
mit60001-q-039,How does the course distinguish black-box testing from glass-box testing?,True,strong_accept,full_credited_ground_truth_coverage,accept,accept,True,A_success_decision,"9H6muyZjms0:semantic_cosine_wp240_v1:13
9H6muyZjms0:semantic_cosine_wp240_v1:15","The candidate excerpt directly supports the answer to the question 'How does the course distinguish black-box testing from glass-box testing?' by explaining the key differences between the two testing methods: black box testing relies on specifications, while glass box testing uses the code itself to guide test cases."
mit60001-q-040,How does the course distinguish an exception from an assertion failure?,True,strong_reject,retrieval_miss_no_credited_evidence_in_top3,reject,accept,False,D_potential_false_accept,9H6muyZjms0:semantic_cosine_wp240_v1:51,"The candidate excerpt directly supports the answer by explaining that assertions are used to make sure that the assumptions on computations are exactly what the function expects them to be, and that if an assertion becomes false, the function will immediately terminate."
mit60001-q-042,How do Python type hints work in a FastAPI endpoint?,False,strong_reject,out_of_scope,reject,reject,True,out_of_scope_correct_reject,,The provided excerpts do not directly address the question of how Python type hints work in a FastAPI endpoint.
mit60001-q-043,How do I train a transformer model with PyTorch?,False,strong_reject,out_of_scope,reject,reject,True,out_of_scope_correct_reject,,None of the candidate excerpts provide information on how to train a transformer model with PyTorch.
mit60001-q-044,How do I provision cloud infrastructure with Terraform?,False,strong_reject,out_of_scope,reject,reject,True,out_of_scope_correct_reject,,None of the candidate excerpts directly address how to provision cloud infrastructure with Terraform.
